id,name,email,phone,gpa,skills,education,college,location,category,past_internships,preferred_companies,github_profile,linkedin_profile,resume_score,availability_start,preferred_duration,expected_stipend,willingness_to_relocate,is_rural,is_female,experience,created_at
STU00026,Advaith Kumar,advaithkumar26@email.com,03641322417,7.34,"sketch, figma, photoshop, numpy, firewall, java, ui/ux design, ansible, powerpoint, adobe illustrator",B.E Computer Science,Manipal Institute,Delhi,general,1,"Meta, Tech Mahindra, Cognizant, TCS, EY, Apple",https://github.com/advaithkumar26,https://linkedin.com/in/advaith-kumar-26,63.5,2025-11-11,3,31147,Preferred,False,True,19,2025-09-05T14:12:36.290320
STU00027,Lata Patel,patel.lata@gmail.com,+912895761109,8.72,"jenkins, c++, flutter, ansible, azure, django",M.Tech CSE,IIT Madras,Delhi,rural,1,"BYJU'S, Ola, McKinsey, Flipkart, Deloitte, EY, HCL Technologies",,https://linkedin.com/in/lata-patel-27,74.6,2025-12-07,12,72443,Preferred,True,False,8,2025-08-30T14:12:36.290320
STU00028,Rohan Aggarwal,rohan.aggarwal@student.edu,7357637215,8.48,"figma, node.js, spring boot, penetration testing, ruby, react, vue.js, django, sap",M.Tech AI/ML,IIT Madras,Delhi,rural,3,"Morgan Stanley, Paytm, HDFC Bank, Accenture, KPMG, PhonePe, Tech Mahindra, Axis Bank",https://github.com/rohanaggarwal28,https://linkedin.com/in/rohan-aggarwal-28,62.5,2025-11-19,3,69789,Yes,True,True,20,2025-09-14T14:12:36.290320
STU00029,Daksh Thakur,daksh29@college.ac.in,+913856067450,8.32,"reinforcement learning, swift, penetration testing, java, computer vision, angular, cryptography, mongodb, redis, neural networks, natural language processing",M.Tech CSE,PES University,Kolkata,reserved,1,"Cognizant, Google, TCS, Paytm, Deloitte, Swiggy, PwC, Unacademy",https://github.com/dakshthakur29,https://linkedin.com/in/daksh-thakur-29,94.1,2025-12-19,3,46741,No,False,False,24,2025-09-04T14:12:36.290320
STU00030,Sneha Sharma,snehasharma30@email.com,03145268748,7.0,"tableau, swift, sap, aws",B.Tech CSE,IIT Kanpur,Ahmedabad,general,2,"Tech Mahindra, Goldman Sachs, Freshworks, PwC, KPMG, JP Morgan, Cognizant",,,70.6,2025-11-17,6,66949,No,False,False,16,2025-09-14T14:12:36.291321
STU00031,Aditi Chopra,chopra.aditi@gmail.com,01414227410,6.19,"mysql, android, firewall, spring boot, oracle, cassandra, redis, business analysis, project management",B.Tech IT,NIT Calicut,Noida,general,0,"Morgan Stanley, Accenture, Ola",,https://linkedin.com/in/aditi-chopra-31,66.6,2025-11-29,3,73811,Yes,False,True,11,2025-08-30T14:12:36.291321
STU00032,Advaith Aggarwal,advaith32@college.ac.in,+914179615222,7.59,"sketch, node.js, wireframing, flask, deep learning",B.Sc Computer Science,IIT Delhi,Surat,general,1,"Zomato, JP Morgan, Paytm, Swiggy, Ola, ICICI Bank",https://github.com/advaithaggarwal32,https://linkedin.com/in/advaith-aggarwal-32,89.9,2025-12-10,6,79983,No,False,False,22,2025-09-04T14:12:36.291321
STU00033,Nikhil Sharma,sharma.nikhil@gmail.com,06352358753,9.7,"mysql, postgresql, android, spring boot, php, ansible, mongodb, redis, tableau",M.Tech CSE,IIIT Hyderabad,Surat,general,0,"Freshworks, Google, PhonePe, HCL Technologies",https://github.com/nikhilsharma33,https://linkedin.com/in/nikhil-sharma-33,62.8,2025-12-25,12,36493,Yes,False,True,1,2025-08-29T14:12:36.291321
STU00034,Ira Kumar,ira.kumar@student.edu,06524211170,6.85,"neural networks, reinforcement learning, vue.js, mongodb",B.Tech CSE,IIT Guwahati,Chennai,general,0,"Microsoft, Axis Bank, Deloitte",https://github.com/irakumar34,https://linkedin.com/in/ira-kumar-34,91.2,2025-12-25,12,74537,No,False,False,16,2025-09-02T14:12:36.292322
STU00035,Sunita Chopra,chopra.sunita@gmail.com,05526048564,7.87,"android, node.js, figma, c++, vue.js, react, business analysis, powerpoint, django",M.Tech CSE,RV College,Surat,reserved,3,"Amazon, Swiggy, EY",,,75.8,2025-11-10,3,38082,Yes,False,True,19,2025-09-02T14:12:36.292322
STU00036,Ishaan Verma,ishaan.verma@student.edu,5456876286,8.76,"penetration testing, ethical hacking, tensorflow, cryptography, network security, scikit-learn, natural language processing",B.Sc Computer Science,IIIT Hyderabad,Surat,rural,1,"Tech Mahindra, Goldman Sachs, Cognizant, HDFC Bank, Freshworks, Swiggy, Amazon",https://github.com/ishaanverma36,https://linkedin.com/in/ishaan-verma-36,90.2,2025-11-15,6,43514,Preferred,True,False,24,2025-09-07T14:12:36.292322
STU00037,Nisha U. Iyer,nishaiyer37@email.com,4897893810,8.69,"aws, ios, php, kotlin, ansible, terraform, go",B.Tech IT,IIT Delhi,Mumbai,rural,0,"EY, Paytm, Axis Bank, Apple",,https://linkedin.com/in/nisha-iyer-37,62.0,2025-12-18,3,28547,Yes,True,True,18,2025-09-19T14:12:36.292322
STU00038,Kavya Malhotra,kavya.malhotra@student.edu,6883944962,7.59,"android, tensorflow, react native, kotlin, natural language processing, xamarin, adobe illustrator",B.E Computer Science,RV College,Jaipur,rural,1,"Amazon, Freshworks, Swiggy, PhonePe, Tech Mahindra, ICICI Bank, Microsoft, HDFC Bank",,https://linkedin.com/in/kavya-malhotra-38,93.6,2025-11-14,6,39922,Yes,True,True,7,2025-09-04T14:12:36.293320
STU00039,Anaya Kumar,anayakumar39@email.com,3236736196,7.63,"node.js, swift, tensorflow, oracle, vue.js",M.Tech CSE,SRM Chennai,Hyderabad,rural,2,"Apple, Wipro, Paytm, Amazon",https://github.com/anayakumar39,https://linkedin.com/in/anaya-kumar-39,92.7,2025-10-29,3,41467,Preferred,True,False,8,2025-09-11T14:12:36.293320
STU00040,Anaya C. Saxena,saxena.anaya@gmail.com,+919719073916,7.12,"aws, business analysis, sap, firewall",B.Tech CSE,IIT Kanpur,Jaipur,general,1,"KPMG, Google, Freshworks, PhonePe, Tech Mahindra, Wipro, EY",https://github.com/anayasaxena40,https://linkedin.com/in/anaya-saxena-40,87.6,2025-11-16,3,31715,Preferred,False,False,5,2025-09-09T14:12:36.293320
STU00041,Anika R. Patel,anika.patel@student.edu,03710571595,8.09,"postgresql, node.js, spring boot, java, firewall, oracle, angular, vue.js, express.js, sap",B.Tech IT,VIT Vellore,Pune,general,0,"McKinsey, JP Morgan, TCS, Netflix, ICICI Bank",https://github.com/anikapatel41,https://linkedin.com/in/anika-patel-41,92.8,2025-10-29,6,72335,Yes,False,False,13,2025-08-28T14:12:36.293320
STU00042,Lata Agarwal,lataagarwal42@email.com,+912280369175,7.35,"firewall, cryptography, mongodb, network security, terraform, kotlin",B.E Computer Science,BMS College,Hyderabad,female,2,"HCL Technologies, Apple, Ola",,https://linkedin.com/in/lata-agarwal-42,83.7,2025-11-24,3,25111,Preferred,False,True,9,2025-09-15T14:12:36.294347
STU00043,Lata Mittal,lata43@college.ac.in,9721897440,8.4,"sketch, elasticsearch, reinforcement learning, penetration testing, computer vision, power bi, mongodb, neural networks, express.js, natural language processing",B.Tech CSE,RV College,Delhi,general,1,"Deloitte, Wipro, Zomato, KPMG, Ola, HDFC Bank",https://github.com/latamittal43,https://linkedin.com/in/lata-mittal-43,94.8,2025-11-28,3,48769,No,False,False,8,2025-09-07T14:12:36.294347
STU00044,Aryan T. Singh,aryan44@college.ac.in,+915145439633,7.97,"python, c++, pytorch, redis, flask, go, javascript",B.E Computer Science,IIT Kharagpur,Ahmedabad,general,1,"Accenture, Google, Netflix, HDFC Bank",https://github.com/aryansingh44,https://linkedin.com/in/aryan-singh-44,61.7,2025-11-23,12,33671,No,False,False,24,2025-09-26T14:12:36.294980
STU00045,Ayaan Patel,ayaanpatel45@email.com,6671140663,8.74,"sketch, figma, swift, ui/ux design, ansible, machine learning",B.Tech ECE,BMS College,Delhi,general,1,"Microsoft, PwC, Freshworks, TCS",https://github.com/ayaanpatel45,https://linkedin.com/in/ayaan-patel-45,68.6,2025-12-23,12,15563,Yes,False,True,23,2025-09-11T14:12:36.294980
STU00046,Arnav Tiwari,tiwari.arnav@gmail.com,07488031256,9.16,"sketch, figma, kubernetes, cassandra, mongodb, redis, scikit-learn",M.Tech AI/ML,IIT Delhi,Noida,general,2,"Freshworks, Morgan Stanley, Infosys, EY, PhonePe",https://github.com/arnavtiwari46,https://linkedin.com/in/arnav-tiwari-46,67.2,2025-11-12,6,41645,Yes,False,False,8,2025-09-21T14:12:36.294980
STU00047,Ayaan Chauhan,chauhan.ayaan@gmail.com,+911369662457,8.74,"ios, android, figma, swift, flutter, firewall, oracle, cassandra, kotlin, xamarin, django",MCA,NIT Trichy,Jaipur,rural,1,"Morgan Stanley, Amazon, Google, Accenture, HCL Technologies, BYJU'S, Goldman Sachs, Apple",https://github.com/ayaanchauhan47,,79.3,2025-10-28,12,57377,Yes,True,False,17,2025-09-06T14:12:36.295489
STU00048,Krishna D. Jindal,jindal.krishna@gmail.com,4861787006,7.12,"ios, swift, python, flutter, power bi, vue.js, xamarin, neural networks, express.js",B.E Computer Science,VIT Vellore,Kolkata,rural,1,"Infosys, Flipkart, Apple, Accenture, Amazon, JP Morgan, ICICI Bank",,,66.1,2025-11-02,12,18513,Yes,True,False,16,2025-09-21T14:12:36.295489
STU00049,Aarav Kapoor,aarav.kapoor@student.edu,09745007816,8.39,"tableau, ansible, c#, javascript",B.Sc Computer Science,SRM Chennai,Kolkata,reserved,1,"ICICI Bank, Morgan Stanley, Flipkart, Meta, Deloitte",https://github.com/aaravkapoor49,https://linkedin.com/in/aarav-kapoor-49,64.8,2025-11-11,12,74909,Preferred,False,False,23,2025-09-06T14:12:36.295489
STU00050,Saanvi I. Pandey,saanvi50@college.ac.in,01164662882,6.48,"python, penetration testing, ui/ux design, business analysis, project management",B.Tech ECE,NIT Warangal,Bangalore,general,2,"ICICI Bank, TCS, Netflix, Swiggy, Apple",https://github.com/saanvipandey50,https://linkedin.com/in/saanvi-pandey-50,68.3,2025-10-31,6,43301,Preferred,False,True,8,2025-09-03T14:12:36.295489
STU00051,Rahul N. Jindal,jindal.rahul@gmail.com,+910024195031,6.11,"android, swift, flutter, rust, react native, business analysis, express.js, javascript",B.Tech IT,IIT Bombay,Surat,general,1,"KPMG, JP Morgan, Deloitte",https://github.com/rahuljindal51,https://linkedin.com/in/rahul-jindal-51,62.0,2025-12-03,3,15233,No,False,True,13,2025-09-22T14:12:36.296504
STU00052,Nisha Mishra,nisha52@college.ac.in,5185416023,7.31,"elasticsearch, penetration testing, ethical hacking, ui/ux design, cryptography, angular, network security, django",B.Tech ECE,BITS Pilani,Chennai,general,0,"EY, Flipkart, Zomato, HCL Technologies, Goldman Sachs, Tech Mahindra",,https://linkedin.com/in/nisha-mishra-52,75.1,2025-12-01,12,56308,No,False,True,7,2025-09-10T14:12:36.296504
STU00053,Fatima S. Patel,fatima.patel@student.edu,3486223211,8.51,"sketch, mysql, figma, photoshop, spring boot, mongodb, redis",B.Sc Computer Science,VIT Vellore,Pune,general,2,"Deloitte, ICICI Bank, PwC, BYJU'S, Goldman Sachs, PhonePe, Axis Bank, Unacademy",https://github.com/fatimapatel53,https://linkedin.com/in/fatima-patel-53,66.9,2025-11-22,6,74191,Yes,False,True,23,2025-09-08T14:12:36.296504
STU00054,Anika Mishra,anika54@college.ac.in,04932090332,8.79,"aws, node.js, spring boot, wireframing, react, django",B.Sc Computer Science,NIT Trichy,Pune,general,1,"Microsoft, Goldman Sachs, Netflix",https://github.com/anikamishra54,https://linkedin.com/in/anika-mishra-54,76.7,2025-12-12,3,59223,Yes,False,True,6,2025-09-19T14:12:36.296504
STU00055,Lata K. Nair,nair.lata@gmail.com,3951032678,7.96,"figma, flask, angular, react",B.Tech CSE,IIT Bombay,Bangalore,reserved,0,"Axis Bank, Wipro, Goldman Sachs, McKinsey, Freshworks",https://github.com/latanair55,,83.0,2025-10-30,3,19341,No,False,True,0,2025-09-25T14:12:36.297502
STU00056,Darsh Saxena,darsh.saxena@student.edu,01982880929,9.35,"excel, kubernetes, jenkins, ansible, pandas",M.Tech CSE,VIT Vellore,Chennai,general,0,"Accenture, Zomato, HCL Technologies",https://github.com/darshsaxena56,https://linkedin.com/in/darsh-saxena-56,62.1,2025-12-07,6,54276,Yes,False,False,9,2025-09-19T14:12:36.297502
STU00057,Pooja Goel,pooja57@college.ac.in,04818204161,7.13,"reinforcement learning, wireframing, pytorch, oracle, ruby, neural networks, natural language processing",B.E Computer Science,NIT Warangal,Hyderabad,general,2,"HDFC Bank, Deloitte, McKinsey",https://github.com/poojagoel57,https://linkedin.com/in/pooja-goel-57,79.9,2025-11-06,12,44456,Yes,False,True,10,2025-08-31T14:12:36.297502
STU00058,Krishna Agarwal,krishna.agarwal@student.edu,+916838412466,8.1,"android, flutter, angular, react native, kotlin, scikit-learn",M.Tech AI/ML,NIT Trichy,Surat,general,2,"ICICI Bank, Unacademy, Freshworks",,https://linkedin.com/in/krishna-agarwal-58,66.1,2025-10-29,3,48686,Preferred,False,True,4,2025-09-02T14:12:36.297502
STU00059,Ayaan C. Aggarwal,ayaanaggarwal59@email.com,2671399821,8.81,"penetration testing, pytorch, react, scikit-learn, deep learning",B.Sc Computer Science,IIT Kharagpur,Jaipur,general,1,"JP Morgan, McKinsey, KPMG",https://github.com/ayaanaggarwal59,,76.3,2025-12-05,12,59148,Preferred,False,False,15,2025-09-13T14:12:36.298500
STU00060,Daksh Agarwal,daksh60@college.ac.in,06839295570,8.44,"jenkins, penetration testing, firewall, ethical hacking, flask, go",B.Tech CSE,BMS College,Chennai,general,1,"TCS, Tech Mahindra, Wipro, KPMG, HCL Technologies, Swiggy, Unacademy, Paytm",https://github.com/dakshagarwal60,https://linkedin.com/in/daksh-agarwal-60,89.5,2025-11-05,12,50419,No,False,False,6,2025-09-15T14:12:36.298500
STU00061,Keya T. Gupta,keya.gupta@student.edu,02777532321,7.87,"ios, android, figma, numpy, google cloud, flutter, ruby, react native, kotlin, xamarin, deep learning",M.Tech CSE,IIT Roorkee,Chennai,general,2,"JP Morgan, Netflix, Meta, Cognizant, Axis Bank",,https://linkedin.com/in/keya-gupta-61,75.8,2025-11-30,6,71028,No,False,True,12,2025-09-06T14:12:36.298500
STU00062,Sunita Tiwari,tiwari.sunita@gmail.com,+914200496287,8.81,"sketch, figma, android, postgresql, kubernetes, google cloud, wireframing, ui/ux design, php, tableau, adobe illustrator",MCA,NIT Trichy,Kolkata,general,2,"Goldman Sachs, Unacademy, ICICI Bank",https://github.com/sunitatiwari62,https://linkedin.com/in/sunita-tiwari-62,64.4,2025-10-30,12,67082,No,False,False,9,2025-09-25T14:12:36.298500
STU00063,Ira Sharma,sharma.ira@gmail.com,9580490597,8.44,"sketch, aws, penetration testing, network security, machine learning",M.Tech CSE,BITS Pilani,Gurgaon,reserved,0,"Zomato, Freshworks, Netflix, BYJU'S, Flipkart, Meta, ICICI Bank, Google",,https://linkedin.com/in/ira-sharma-63,71.6,2025-11-26,3,55974,Yes,False,True,14,2025-09-18T14:12:36.299501
STU00064,Shaurya Kapoor,shauryakapoor64@email.com,00801655200,6.55,"mysql, elasticsearch, postgresql, penetration testing, oracle, cassandra, computer vision, ansible, mongodb, scikit-learn, azure",MCA,NIT Calicut,Pune,reserved,3,"HCL Technologies, ICICI Bank, Freshworks",https://github.com/shauryakapoor64,https://linkedin.com/in/shaurya-kapoor-64,63.3,2025-11-14,6,57856,Yes,False,False,19,2025-09-12T14:12:36.299501
STU00065,Lata G. Chopra,chopra.lata@gmail.com,+913730480698,6.19,"r, php, firewall, python",MBA,BMS College,Mumbai,general,2,"Goldman Sachs, McKinsey, Cognizant",https://github.com/latachopra65,,79.3,2025-11-24,12,57586,No,False,False,18,2025-09-19T14:12:36.300010
STU00066,Ayaan N. Gupta,ayaan.gupta@student.edu,+918566003005,7.05,"business analysis, reinforcement learning, android, elasticsearch, c++, computer vision, ruby, neural networks, express.js, natural language processing",B.Tech ECE,IIT Guwahati,Ahmedabad,general,2,"Axis Bank, Zomato, Freshworks, EY, KPMG",https://github.com/ayaangupta66,https://linkedin.com/in/ayaan-gupta-66,75.9,2025-11-02,6,21239,Preferred,False,True,5,2025-09-02T14:12:36.300010
STU00067,Karan Verma,verma.karan@gmail.com,9143937049,6.24,"elasticsearch, photoshop, oracle, cassandra, django",MCA,NIT Warangal,Jaipur,general,1,"Meta, Netflix, BYJU'S",,,64.6,2025-11-30,12,18303,Yes,False,False,18,2025-09-14T14:12:36.300523
STU00068,Anika Shah,anika.shah@student.edu,+914287743532,7.12,"mysql, elasticsearch, postgresql, c#, oracle, cassandra, vue.js, react, xamarin",B.Tech CSE,SRM Chennai,Noida,general,0,"Swiggy, Wipro, Deloitte, KPMG",https://github.com/anikashah68,,65.6,2025-10-30,3,57055,Preferred,False,True,23,2025-09-10T14:12:36.300523
STU00069,Sunita Shah,shah.sunita@gmail.com,+917397542465,7.4,"reinforcement learning, google cloud, penetration testing, computer vision, neural networks, powerpoint, natural language processing, adobe illustrator",B.Sc Computer Science,IIT Madras,Surat,female,0,"Axis Bank, Meta, PhonePe",https://github.com/sunitashah69,https://linkedin.com/in/sunita-shah-69,84.2,2025-11-16,3,78927,Yes,False,True,14,2025-09-13T14:12:36.301541
STU00070,Reyansh Chopra,reyansh70@college.ac.in,+911000823308,6.59,"android, c++, power bi, cryptography, javascript",B.Tech CSE,IIT Madras,Gurgaon,general,1,"Apple, PhonePe, Deloitte, Tech Mahindra, Morgan Stanley, Infosys",https://github.com/reyanshchopra70,https://linkedin.com/in/reyansh-chopra-70,84.8,2025-12-20,12,22202,No,False,False,19,2025-09-17T14:12:36.301541
